"","Package","LibPath","Version","Priority","Built"
"askpass","askpass","/usr/local/lib/R/3.6/site-library","1.1",NA,"3.6.2"
"assertthat","assertthat","/usr/local/lib/R/3.6/site-library","0.2.1",NA,"3.6.2"
"backports","backports","/usr/local/lib/R/3.6/site-library","1.1.5",NA,"3.6.2"
"base64enc","base64enc","/usr/local/lib/R/3.6/site-library","0.1-3",NA,"3.6.2"
"BH","BH","/usr/local/lib/R/3.6/site-library","1.72.0-3",NA,"3.6.2"
"broom","broom","/usr/local/lib/R/3.6/site-library","0.5.4",NA,"3.6.2"
"callr","callr","/usr/local/lib/R/3.6/site-library","3.4.1",NA,"3.6.2"
"cellranger","cellranger","/usr/local/lib/R/3.6/site-library","1.1.0",NA,"3.6.2"
"cli","cli","/usr/local/lib/R/3.6/site-library","2.0.1",NA,"3.6.2"
"clipr","clipr","/usr/local/lib/R/3.6/site-library","0.7.0",NA,"3.6.2"
"clisymbols","clisymbols","/usr/local/lib/R/3.6/site-library","1.2.0",NA,"3.6.2"
"colorspace","colorspace","/usr/local/lib/R/3.6/site-library","1.4-1",NA,"3.6.2"
"crayon","crayon","/usr/local/lib/R/3.6/site-library","1.3.4",NA,"3.6.2"
"curl","curl","/usr/local/lib/R/3.6/site-library","4.3",NA,"3.6.2"
"DBI","DBI","/usr/local/lib/R/3.6/site-library","1.1.0",NA,"3.6.2"
"dbplyr","dbplyr","/usr/local/lib/R/3.6/site-library","1.4.2",NA,"3.6.2"
"desc","desc","/usr/local/lib/R/3.6/site-library","1.2.0",NA,"3.6.2"
"digest","digest","/usr/local/lib/R/3.6/site-library","0.6.23",NA,"3.6.2"
"dplyr","dplyr","/usr/local/lib/R/3.6/site-library","0.8.3",NA,"3.6.2"
"ellipsis","ellipsis","/usr/local/lib/R/3.6/site-library","0.3.0",NA,"3.6.2"
"evaluate","evaluate","/usr/local/lib/R/3.6/site-library","0.14",NA,"3.6.2"
"fansi","fansi","/usr/local/lib/R/3.6/site-library","0.4.1",NA,"3.6.2"
"farver","farver","/usr/local/lib/R/3.6/site-library","2.0.3",NA,"3.6.2"
"forcats","forcats","/usr/local/lib/R/3.6/site-library","0.4.0",NA,"3.6.2"
"fs","fs","/usr/local/lib/R/3.6/site-library","1.3.1",NA,"3.6.2"
"generics","generics","/usr/local/lib/R/3.6/site-library","0.0.2",NA,"3.6.2"
"ggplot2","ggplot2","/usr/local/lib/R/3.6/site-library","3.2.1",NA,"3.6.2"
"gh","gh","/usr/local/lib/R/3.6/site-library","1.1.0",NA,"3.6.2"
"git2r","git2r","/usr/local/lib/R/3.6/site-library","0.26.1",NA,"3.6.2"
"glue","glue","/usr/local/lib/R/3.6/site-library","1.3.1",NA,"3.6.2"
"gtable","gtable","/usr/local/lib/R/3.6/site-library","0.3.0",NA,"3.6.2"
"haven","haven","/usr/local/lib/R/3.6/site-library","2.2.0",NA,"3.6.2"
"here","here","/usr/local/lib/R/3.6/site-library","0.1",NA,"3.6.2"
"highr","highr","/usr/local/lib/R/3.6/site-library","0.8",NA,"3.6.2"
"hms","hms","/usr/local/lib/R/3.6/site-library","0.5.3",NA,"3.6.2"
"htmltools","htmltools","/usr/local/lib/R/3.6/site-library","0.4.0",NA,"3.6.2"
"httr","httr","/usr/local/lib/R/3.6/site-library","1.4.1",NA,"3.6.2"
"ini","ini","/usr/local/lib/R/3.6/site-library","0.3.1",NA,"3.6.2"
"jsonlite","jsonlite","/usr/local/lib/R/3.6/site-library","1.6",NA,"3.6.2"
"knitr","knitr","/usr/local/lib/R/3.6/site-library","1.27",NA,"3.6.2"
"labeling","labeling","/usr/local/lib/R/3.6/site-library","0.3",NA,"3.6.2"
"lazyeval","lazyeval","/usr/local/lib/R/3.6/site-library","0.2.2",NA,"3.6.2"
"lifecycle","lifecycle","/usr/local/lib/R/3.6/site-library","0.1.0",NA,"3.6.2"
"lubridate","lubridate","/usr/local/lib/R/3.6/site-library","1.7.4",NA,"3.6.2"
"magrittr","magrittr","/usr/local/lib/R/3.6/site-library","1.5",NA,"3.6.2"
"markdown","markdown","/usr/local/lib/R/3.6/site-library","1.1",NA,"3.6.2"
"mime","mime","/usr/local/lib/R/3.6/site-library","0.8",NA,"3.6.2"
"modelr","modelr","/usr/local/lib/R/3.6/site-library","0.1.5",NA,"3.6.2"
"munsell","munsell","/usr/local/lib/R/3.6/site-library","0.5.0",NA,"3.6.2"
"nycflights13","nycflights13","/usr/local/lib/R/3.6/site-library","1.0.1",NA,"3.6.2"
"openssl","openssl","/usr/local/lib/R/3.6/site-library","1.4.1",NA,"3.6.2"
"pillar","pillar","/usr/local/lib/R/3.6/site-library","1.4.3",NA,"3.6.2"
"pkgconfig","pkgconfig","/usr/local/lib/R/3.6/site-library","2.0.3",NA,"3.6.2"
"plogr","plogr","/usr/local/lib/R/3.6/site-library","0.2.0",NA,"3.6.2"
"plyr","plyr","/usr/local/lib/R/3.6/site-library","1.8.5",NA,"3.6.2"
"prettyunits","prettyunits","/usr/local/lib/R/3.6/site-library","1.1.1",NA,"3.6.2"
"processx","processx","/usr/local/lib/R/3.6/site-library","3.4.1",NA,"3.6.2"
"progress","progress","/usr/local/lib/R/3.6/site-library","1.2.2",NA,"3.6.2"
"ps","ps","/usr/local/lib/R/3.6/site-library","1.3.0",NA,"3.6.2"
"purrr","purrr","/usr/local/lib/R/3.6/site-library","0.3.3",NA,"3.6.2"
"R6","R6","/usr/local/lib/R/3.6/site-library","2.4.1",NA,"3.6.2"
"RColorBrewer","RColorBrewer","/usr/local/lib/R/3.6/site-library","1.1-2",NA,"3.6.2"
"Rcpp","Rcpp","/usr/local/lib/R/3.6/site-library","1.0.3",NA,"3.6.2"
"readr","readr","/usr/local/lib/R/3.6/site-library","1.3.1",NA,"3.6.2"
"readxl","readxl","/usr/local/lib/R/3.6/site-library","1.3.1",NA,"3.6.2"
"rematch","rematch","/usr/local/lib/R/3.6/site-library","1.0.1",NA,"3.6.2"
"reprex","reprex","/usr/local/lib/R/3.6/site-library","0.3.0",NA,"3.6.2"
"reshape2","reshape2","/usr/local/lib/R/3.6/site-library","1.4.3",NA,"3.6.2"
"rlang","rlang","/usr/local/lib/R/3.6/site-library","0.4.3",NA,"3.6.2"
"rmarkdown","rmarkdown","/usr/local/lib/R/3.6/site-library","2.1",NA,"3.6.2"
"rprojroot","rprojroot","/usr/local/lib/R/3.6/site-library","1.3-2",NA,"3.6.2"
"rstudioapi","rstudioapi","/usr/local/lib/R/3.6/site-library","0.10",NA,"3.6.2"
"rvest","rvest","/usr/local/lib/R/3.6/site-library","0.3.5",NA,"3.6.2"
"scales","scales","/usr/local/lib/R/3.6/site-library","1.1.0",NA,"3.6.2"
"selectr","selectr","/usr/local/lib/R/3.6/site-library","0.4-2",NA,"3.6.2"
"stringi","stringi","/usr/local/lib/R/3.6/site-library","1.4.5",NA,"3.6.2"
"stringr","stringr","/usr/local/lib/R/3.6/site-library","1.4.0",NA,"3.6.2"
"sys","sys","/usr/local/lib/R/3.6/site-library","3.3",NA,"3.6.2"
"tibble","tibble","/usr/local/lib/R/3.6/site-library","2.1.3",NA,"3.6.2"
"tidyr","tidyr","/usr/local/lib/R/3.6/site-library","1.0.2",NA,"3.6.2"
"tidyselect","tidyselect","/usr/local/lib/R/3.6/site-library","0.2.5",NA,"3.6.2"
"tidyverse","tidyverse","/usr/local/lib/R/3.6/site-library","1.3.0",NA,"3.6.2"
"tinytex","tinytex","/usr/local/lib/R/3.6/site-library","0.19",NA,"3.6.2"
"usethis","usethis","/usr/local/lib/R/3.6/site-library","1.5.1",NA,"3.6.2"
"utf8","utf8","/usr/local/lib/R/3.6/site-library","1.1.4",NA,"3.6.2"
"vctrs","vctrs","/usr/local/lib/R/3.6/site-library","0.2.2",NA,"3.6.2"
"viridisLite","viridisLite","/usr/local/lib/R/3.6/site-library","0.3.0",NA,"3.6.2"
"whisker","whisker","/usr/local/lib/R/3.6/site-library","0.4",NA,"3.6.2"
"withr","withr","/usr/local/lib/R/3.6/site-library","2.1.2",NA,"3.6.2"
"xfun","xfun","/usr/local/lib/R/3.6/site-library","0.12",NA,"3.6.2"
"xml2","xml2","/usr/local/lib/R/3.6/site-library","1.2.2",NA,"3.6.2"
"yaml","yaml","/usr/local/lib/R/3.6/site-library","2.2.0",NA,"3.6.2"
"zeallot","zeallot","/usr/local/lib/R/3.6/site-library","0.1.0",NA,"3.6.2"
"base","base","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"boot","boot","/usr/local/Cellar/r/3.6.2/lib/R/library","1.3-24","recommended","3.6.2"
"class","class","/usr/local/Cellar/r/3.6.2/lib/R/library","7.3-15","recommended","3.6.2"
"cluster","cluster","/usr/local/Cellar/r/3.6.2/lib/R/library","2.1.0","recommended","3.6.2"
"codetools","codetools","/usr/local/Cellar/r/3.6.2/lib/R/library","0.2-16","recommended","3.6.2"
"compiler","compiler","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"datasets","datasets","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"foreign","foreign","/usr/local/Cellar/r/3.6.2/lib/R/library","0.8-75","recommended","3.6.2"
"graphics","graphics","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"grDevices","grDevices","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"grid","grid","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"KernSmooth","KernSmooth","/usr/local/Cellar/r/3.6.2/lib/R/library","2.23-16","recommended","3.6.2"
"lattice","lattice","/usr/local/Cellar/r/3.6.2/lib/R/library","0.20-38","recommended","3.6.2"
"MASS","MASS","/usr/local/Cellar/r/3.6.2/lib/R/library","7.3-51.5","recommended","3.6.2"
"Matrix","Matrix","/usr/local/Cellar/r/3.6.2/lib/R/library","1.2-18","recommended","3.6.2"
"methods","methods","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"mgcv","mgcv","/usr/local/Cellar/r/3.6.2/lib/R/library","1.8-31","recommended","3.6.2"
"nlme","nlme","/usr/local/Cellar/r/3.6.2/lib/R/library","3.1-143","recommended","3.6.2"
"nnet","nnet","/usr/local/Cellar/r/3.6.2/lib/R/library","7.3-12","recommended","3.6.2"
"parallel","parallel","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"rpart","rpart","/usr/local/Cellar/r/3.6.2/lib/R/library","4.1-15","recommended","3.6.2"
"spatial","spatial","/usr/local/Cellar/r/3.6.2/lib/R/library","7.3-11","recommended","3.6.2"
"splines","splines","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"stats","stats","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"stats4","stats4","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"survival","survival","/usr/local/Cellar/r/3.6.2/lib/R/library","3.1-8","recommended","3.6.2"
"tcltk","tcltk","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"tools","tools","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
"utils","utils","/usr/local/Cellar/r/3.6.2/lib/R/library","3.6.2","base","3.6.2"
